frame,view,aa,requested_aa,screen_percentage,temporal_upsampling,dynamic_res,gi,reflections,vsm,nanite,ray_tracing,tsr_supported,external_upscaler,width,height,feature_sm6,nanite_supported,nanite_enabled,vsm_enabled,lumen_supported
233,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
234,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
235,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
236,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
237,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
238,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
239,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
240,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
241,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
242,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
243,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
244,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
245,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
246,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
247,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
248,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
249,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
250,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
251,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
252,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
253,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
254,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
255,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
256,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
257,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
258,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
259,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
260,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
261,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
262,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
263,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
264,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
265,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
266,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
267,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
268,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
269,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
270,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
271,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
272,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
