frame,wall_seconds,wall_delta_ms,sim_delta_ms,stage,phase,cycle,game_ms,render_ms,rhi_ms,gpu_ms,game_wait_ms,render_wait_ms,swap_ms,pawn_count,autonomous_pawns,player_x,player_y,player_z,view_yaw,health,ammo,pressure,active_audio,active_vfx
597,1.679915105,17.617145,18.363001,warmup,terminal,1,2.435000,17.938999,1.016000,6.150000,15.931000,0.527000,0.014000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
598,1.697440327,17.525222,17.649195,warmup,terminal,1,2.606000,17.197001,1.187000,6.078000,15.134000,0.306000,0.012000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
599,1.715629685,18.189358,17.492502,warmup,terminal,1,2.664000,17.025000,1.162000,6.129000,14.838000,0.674000,0.013000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
600,1.733936734,18.307049,18.234298,warmup,terminal,1,2.476000,18.121000,1.079000,6.124000,15.685000,0.746000,0.014000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
601,1.752902767,18.966033,18.262528,warmup,terminal,1,2.453000,18.488001,1.620000,6.110000,15.787000,0.592000,0.010000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
602,1.772724459,19.821692,18.966343,warmup,terminal,1,2.543000,18.261999,1.701000,6.151000,16.427000,0.408000,0.014000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
603,1.792470968,19.746509,19.869783,warmup,terminal,1,2.836000,19.143999,2.058000,6.171000,17.368000,0.918000,0.015000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
604,1.811818500,19.347532,19.703009,warmup,terminal,1,2.723000,19.454000,1.937000,6.165000,16.849001,0.956000,0.013000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
605,1.829881704,18.063204,19.419802,warmup,terminal,1,2.793000,18.802000,1.503000,6.165000,16.634001,0.635000,0.013000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
606,1.849097242,19.215538,17.987503,warmup,terminal,1,2.643000,16.882999,1.496000,6.168000,15.201000,0.987000,0.015000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
607,1.870681871,21.584629,19.228478,warmup,terminal,1,2.740000,17.457001,1.920000,6.199000,16.569000,0.909000,0.013000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
608,1.892932764,22.250893,21.615340,warmup,terminal,1,2.716000,22.757000,2.578000,6.172000,18.840000,0.096000,0.015000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
609,1.915674028,22.741264,22.220802,warmup,terminal,1,2.781000,20.649000,2.106000,6.189000,19.551001,0.602000,0.012000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
610,1.938014383,22.340355,22.840666,warmup,terminal,1,2.692000,21.850000,2.307000,6.258000,20.003000,0.593000,0.012000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
611,1.959226013,21.211630,22.233773,warmup,terminal,1,2.548000,22.431999,2.016000,6.220000,19.674999,1.339000,0.014000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
612,1.980196189,20.970176,21.214111,warmup,terminal,1,2.570000,19.232000,1.838000,6.204000,18.663000,0.678000,0.014000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
613,2.004065737,23.869548,20.973495,warmup,terminal,1,2.686000,21.475000,1.989000,6.329000,18.437000,1.308000,0.010000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
614,2.024921720,20.855983,23.980000,warmup,travel,1,3.469000,25.097000,4.112000,6.299000,21.023001,0.665000,0.015000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
615,2.111547981,86.626261,20.786932,warmup,active,2,16.346001,15.834000,6.355000,6.238000,4.106000,0.598000,0.014000,4,3,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,2,2
616,2.877452535,765.904554,86.497480,warmup,active,2,85.203003,41.098000,3.559000,28.660999,1.920000,385.733002,0.062000,4,3,11.671629,0.000000,228.125000,0.249443,100.000000,60,0.000000,2,2
617,2.888072291,10.619756,765.931323,warmup,active,2,321.419006,10.010000,0.694000,28.660999,444.205994,257.178009,0.024000,4,3,146.713246,36.674828,228.125000,1.287413,100.000000,60,0.000000,1,2
618,2.894948447,6.876156,10.550245,warmup,active,2,9.782000,15.303000,0.694000,8.301000,0.000000,1.528000,0.130000,4,3,150.275566,37.650535,228.125000,10.478589,100.000000,60,0.000000,1,2
619,2.915785770,20.837323,6.869086,warmup,active,2,2.154000,9.951000,1.775000,8.301000,5.127000,0.679000,0.013000,4,3,152.587356,38.313944,228.125000,10.605192,100.000000,60,0.000000,0,1
