render_tick,elapsed_seconds
840,15.818323588
841,15.836946399
842,15.853944654
843,15.870993931
844,15.890010881
845,15.910143308
846,15.925557287
847,15.941480658
848,15.959515556
849,15.979365206
850,15.994520910
851,16.012512757
852,16.031025726
853,16.046508417
854,16.063835980
855,16.082963523
856,16.098546366
857,16.116700457
858,16.132516256
859,16.150556484
860,16.168033850
861,16.184581995
862,16.201849566
863,16.218639077
864,16.236259076
865,16.253552298
866,16.271240509
867,16.288510390
868,16.304752948
869,16.324937105
870,16.343009664
871,16.359214601
872,16.376772579
873,16.395523274
874,16.413426430
875,16.431110750
876,16.448452913
877,16.466550723
878,16.484320946
879,16.501584007
880,16.521406116
881,16.538648377
882,16.555776554
883,16.572565315
884,16.590615464
885,16.608692863
886,16.626764493
887,16.642523280
888,16.659567346
889,16.678556736
890,16.693623537
891,16.711602915
892,16.729540781
893,16.747528329
894,16.988745993
895,16.996577460
896,17.015437807
897,17.033622810
898,17.051420422
899,17.067449435
900,17.084591534
901,17.102551161
902,17.120405775
903,17.137385909
904,17.155451269
905,17.173404085
906,17.191421703
907,17.209479792
908,17.226679283
909,17.244552638
910,17.263521397
911,17.282223121
912,17.299798479
913,17.318664967
914,17.336763147
915,17.355901140
916,17.373612372
917,17.391494186
918,17.409548985
919,17.428539105
920,17.446539343
921,17.463539918
922,17.480766029
923,17.498551031
924,17.515454224
925,17.533457192
926,17.551500320
927,17.571327970
928,17.589534802
929,17.608476571
930,17.626533210
931,17.644597879
932,17.662469664
933,17.679566231
934,17.696463094
935,17.712465107
936,17.729565064
937,17.747548631
938,17.764639848
939,17.783126278
940,17.798500306
941,17.815650494
942,17.834514601
943,17.850522024
944,17.867559640
945,17.885510206
946,17.905472729
947,17.923638830
948,17.942497037
949,17.959645696
950,17.977600642
951,17.994463005
952,18.012540584
953,18.031577445
954,18.050566855
955,18.071392057
956,18.088696079
957,18.105492990
958,18.125529563
959,18.142621370
960,18.161617041
961,18.180509109
962,18.197492714
963,18.215529672
964,18.233529230
965,18.251463146
966,18.271703954
967,18.288619228
968,18.306696767
969,18.322537626
970,18.339693664
971,18.356638738
972,18.373188074
973,18.390646829
974,18.409650829
975,18.427152776
976,18.443654460
977,18.460813818
978,18.477717371
979,18.495531575
980,18.513595644
981,18.531731174
982,18.549672791
983,18.566674806
984,18.585290578
985,18.603697645
986,18.620657249
987,18.637572592
988,18.657009072
989,18.674651312
990,18.695104316
991,18.713652705
992,18.731575001
993,18.748682889
994,18.771417664
995,18.787718743
996,18.804616956
997,18.822634514
998,18.841025060
999,18.857707738
1000,18.875404179
1001,18.893547400
1002,18.910621217
1003,18.926706281
1004,18.946688614
1005,18.964615530
1006,18.981646825
1007,19.000583554
1008,19.019009811
1009,19.048573601
1010,19.054569047
1011,19.071356108
1012,19.088505956
1013,19.106553785
1014,19.122585458
1015,19.141585178
1016,19.160527347
1017,19.178535575
1018,19.195583831
1019,19.212525985
1020,19.230516903
1021,19.248561291
1022,19.266526298
1023,19.283582845
1024,19.301644934
1025,19.319574460
1026,19.338698093
1027,19.356609589
1028,19.373563203
1029,19.390544177
1030,19.406614791
1031,19.422539022
1032,19.439800133
1033,19.461591497
1034,19.479779818
1035,19.497626653
1036,19.517553004
1037,19.536570845
1038,19.553602061
1039,19.571573968
1040,19.590095257
1041,19.607932451
1042,19.624684920
1043,19.641682446
1044,19.658636650
1045,19.676886363
1046,19.693640682
1047,19.711694111
1048,19.728618125
1049,19.748755001
1050,19.766660866
1051,19.783704862
1052,19.800703807
1053,19.819071873
1054,19.835819522
1055,19.853794750
1056,19.871663114
1057,19.890744087
1058,19.907777962
1059,19.923708963
1060,19.941742842
1061,19.957604081
1062,19.976334155
1063,19.991669362
1064,20.007681915
1065,20.024612329
1066,20.040769474
1067,20.058821133
1068,20.074752154
1069,20.092689900
1070,20.110674708
1071,20.126747462
1072,20.145066776
1073,20.160677020
1074,20.179696911
1075,20.197622267
1076,20.214722254
1077,20.232639950
1078,20.250722950
1079,20.272233886
1080,20.289747814
1081,20.307685640
1082,20.324737286
1083,20.342647271
1084,20.359641926
1085,20.378752780
1086,20.397981615
1087,20.416678348
1088,20.435567866
1089,20.452699063
1090,20.471985431
1091,20.485635190
1092,20.503676248
1093,20.520879088
1094,20.536746988
1095,20.553733062
1096,20.572558618
1097,20.590713669
1098,20.608605425
1099,20.626598222
1100,20.643745150
1101,20.660685174
1102,20.679801968
1103,20.698072611
1104,20.714829211
1105,20.731807465
1106,20.749744161
1107,20.767748289
1108,20.783965907
1109,20.800879820
1110,20.818819885
1111,20.836619539
1112,20.857634814
1113,20.873753299
1114,20.891041262
1115,20.909991461
1116,20.928110701
1117,20.946170600
1118,20.964860763
1119,20.984741553
1120,21.001287138
1121,21.016700497
1122,21.033946178
1123,21.051845913
1124,21.068011340
1125,21.086006857
1126,21.104609898
1127,21.122706208
1128,21.139026818
1129,21.158605711
1130,21.175609286
1131,21.194719779
1132,21.274368483
1133,21.280230136
1134,21.297560298
1135,21.317032419
1136,21.334786501
1137,21.352709337
1138,21.371517773
1139,21.388749543
1140,21.407655931
1141,21.428461753
1142,21.443703108
1143,21.462588055
1144,21.480766377
1145,21.497182929
1146,21.518299057
1147,21.535882365
1148,21.551680793
1149,21.570794816
1150,21.588594479
1151,21.607187520
1152,21.624897001
1153,21.644623588
1154,21.662607325
1155,21.680690415
1156,21.698636251
1157,21.716585588
1158,21.734650657
1159,21.752983751
1160,21.769673180
1161,21.788443925
1162,21.805573313
1163,21.822612719
1164,21.839560462
1165,21.861599252
1166,21.878606677
1167,21.897531085
1168,21.916965975
1169,21.935574527
